"row";"col";"z";"a";"dn";"rr";"pred"
46;288;76,8;2,81187490941142;2300,66666666667;4,32368754061988;4,33327445056734
132;141;69,9;43,4282540851817;2074,88888888889;3,89937897872769;4,06580908739805
136;173;62,7;37,778404257508;2045,77777777778;3,84466990234199;3,98064565490912
168;183;53,4;41,5663696375495;1762,33333333333;3,31198725402163;3,4562405494106
244;100;62,7;74,2624019267474;1304,77777777778;2,45209421373028;2,37499601516595
226;178;43,2;58,6935694466485;1152,44444444444;2,16581122241425;2,20406637584149
353;77;69;103,219084907017;1095,33333333333;2,05848120232931;1,94194107461901
264;118;56,1;78,6900675259798;1092,88888888889;2,05388731041906;2,00737700104959
248;159;45,6;69,6439004657048;1039;1,95261287512491;1,96084230866109
237;199;36;57,9692534560287;1016,88888888889;1,91105903466402;1,94665620804184
161;346;44,1;341,935492865588;992;1,86428486248692;1,87872983152769
275;150;45,9;80,3834084299501;932,333333333333;1,75215213722309;1,70877408307731
167;467;64,2;308,722701510402;928,111111111111;1,74421723301448;1,71865395536561
291;129;51,9;86,8294215802835;924,666666666667;1,7377440216864;1,7028018539567
265;176;39;74,0849997352247;906,777777777778;1,70412508543412;1,69018254072605
241;226;28,8;51,3871170257645;903,777777777778;1,69848712718063;1,76851345848369
335;110;58,2;100,265140460214;891,222222222222;1,67489122782343;1,60268981916024
189;343;36;339,134858429031;845,444444444444;1,58886016114057;1,62304127360982
265;207;30,3;69,2092747255853;839,222222222222;1,5771666180963;1,56752062533983
322;131;51,6;97,2290013155194;821;1,54292124203807;1,50367065526026
211;332;28,8;340,610209923206;780,555555555556;1,4669132122503;1,4864282049382
267;233;22,8;63,6049654738023;756,333333333333;1,42139191968509;1,43925458800628
235;319;20,7;344,228051943145;707,333333333333;1,32930526821144;1,34577671493701
219;361;30,6;323,412345290427;696,555555555556;1,30905038115261;1,30437047381397
259;286;13,5;19,2592916437672;665;1,24974741285666;1,29566922976141
281;255;15;66,8014094863518;656,444444444444;1,23366879117078;1,23989584719434
243;356;24,3;316,013978722785;622,111111111111;1,16914549115863;1,16783220329507
283;284;7,5;43,3153156821037;607,888888888889;1,14241739277173;1,13634298940608
479;237;57;160,417376057363;606,555555555556;1,13991163354795;1,14557259156701
263;323;13,2;329,036243467927;603,444444444444;1,13406486202582;1,13587183488262
354;475;54,9;252,954970688696;593,444444444444;1,11527166784752;1,09748232295085
298;476;52,8;270,816123995586;580,555555555556;1,09104932868438;1,10013170612423
398;189;44,7;131,167730253805;567,666666666667;1,06682698952125;1,04998314286759
267;352;18,6;303,043415756851;562,444444444444;1,0570127658948;1,04916750105429
289;317;6,3;304,875328344602;542,888888888889;1,0202616306128;1,01632245846132
332;454;47,1;258,403232477872;525,444444444444;0,987477947435111;0,97801111312725
276;380;25,2;287,128047473597;517,111111111111;0,971816952286531;0,979544431784106
305;444;43,2;268,203856847504;513,777777777778;0,965552554227099;0,967812837750208
290;345;13,8;283,276397042316;499,444444444444;0,938615642571542;0,962768313029299
296;422;36,6;272,121096396661;495,444444444444;0,931098364900224;0,9389325033869
300;395;28,5;270,303149443714;478,555555555556;0,899358748065769;0,906364845031025
315;325;8,7;239,381394591091;476,888888888889;0,896226549036053;0,903804194309846
313;374;22,5;260,348166533196;457,333333333333;0,859475413754053;0,873753057150808
340;408;34,5;249,824554769183;454,111111111111;0,853419828963269;0,858470517425632
427;313;38,4;185,643318280534;452,222222222222;0,849870003396257;0,849151700375084
327;353;17,7;243,217095197825;444,444444444444;0,835253074590916;0,850220776605096
335;384;27,3;247,550875481667;436,444444444444;0,82021851924828;0,838686233178463
350;317;15,9;198,434948822922;434,888888888889;0,817295133487212;0,83225828972638
351;350;21,3;224,427061302317;426,444444444444;0,801425325069984;0,814144351744984
372;328;23,1;201,037511025422;422,111111111111;0,793281607592723;0,803442541600169
