 ,Area,Mean,Min,Max,X,Y,Ch
1,0,1381,1381,1381,173.000,142.000,1
2,0,1211,1211,1211,284.167,89.500,1
3,0,1937,1937,1937,288.167,33.500,1
4,0,710,710,710,356.167,139.500,1
5,0,613,613,613,518.167,222.833,1
6,0,337,337,337,453.500,328.833,1
7,0,282,282,282,332.833,348.833,1
8,0,343,343,343,348.167,282.167,1
9,0,579,579,579,216.833,256.167,1
10,0,811,811,811,98.833,252.833,1
11,0,353,353,353,194.167,393.500,1
12,0,391,391,391,236.833,476.833,1
13,0,373,373,373,382.250,462.250,1
14,0,295,295,295,312.000,433.000,1
15,0,488,488,488,136.500,430.000,1
16,0,681,681,681,79.500,352.250,1
17,0,847,847,847,61.000,374.250,1
18,0,1397,1397,1397,140.250,133.750,1
19,0,1426,1426,1426,139.750,134.125,2
20,0,1347,1347,1347,168.625,141.750,2
21,0,747,747,747,180.750,225.750,2
22,0,638,638,638,184.250,256.625,2
23,0,565,565,565,222.750,256.000,2
24,0,559,559,559,169.875,276.625,2
25,0,607,607,607,136.625,280.125,2
26,0,841,841,841,92.250,250.000,2
27,0,529,529,529,129.625,323.125,2
28,0,694,694,694,80.625,354.125,2
29,0,878,878,878,61.125,373.625,2
30,0,357,357,357,194.875,393.625,2
31,0,492,492,492,137.000,430.500,2
32,0,362,362,362,239.000,475.250,2
33,0,470,470,470,308.000,509.500,2
34,0,287,287,287,314.250,432.750,2
35,0,347,347,347,366.250,467.500,2
36,0,362,362,362,466.250,345.500,2
37,0,338,338,338,445.000,315.250,2
38,0,312,312,312,386.750,307.500,2
39,0,326,326,326,342.000,284.500,2
40,0,451,451,451,357.750,226.750,2
41,0,685,685,685,355.750,147.250,2
42,0,387,387,387,298.000,279.500,2
43,0,268,268,268,336.500,349.500,2
44,0,1178,1178,1178,283.000,91.500,2
45,0,2032,2032,2032,287.750,31.000,2
46,0,595,595,595,516.000,221.250,2
47,0,308,308,308,322.500,316.000,2
48,0,429,429,429,252.500,292.000,2
49,0,371,371,371,381.500,461.750,2
50,0,478,478,478,508.500,289.250,2
51,0,597,597,597,468.750,165.750,2
52,0,544,544,544,357.500,183.000,2
53,0,1629,1629,1629,288.250,48.250,2
54,0,454,454,454,332.750,234.500,2
55,0,384,384,384,294.833,290.167,2
56,0,367,367,367,305.500,292.167,2
